Parcel,Number,Ext,Dir,Street,Suffix,City,ZipCode,Subdivision,PlattedFrontage,MappedSQFT,ApproxTotal,UGDistrict
115992,1732,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,36,"4,174.38",240,1
115990,1728,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,36,"4,797.65","6,370.00",1
115988,1720,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,50,"6,033.84",260,1
115987,1716,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,50,"5,981.97",260,1
115985,1706,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,50,"5,942.58",260,1
115984,1702,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,50,"6,097.98",260,1
115983,1741,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,100,"11,932.11",320,1
115979,1725,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,50,"11,317.75",320,1
115977,1711,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,115,"28,593.24",490,1
115975,1547,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,25,"3,142.60",220,1
115966,1507,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,40,"5,028.15",250,1
115956,1542,,,GREELEY,AVE,KANSAS CITY,66104,BARNES ADD B1‐7,41,"4,911.09",250,1
115858,2524,,N,17TH,ST,KANSAS CITY,66104,GLENWOOD,37.5,"4,261.84","9,230.00",1
115856,2518,,N,17TH,ST,KANSAS CITY,66104,GLENWOOD,50,"5,078.97",260,1
115854,2510,,N,17TH,ST,KANSAS CITY,66104,GLENWOOD,25,"3,379.72",210,1
115851,2515,,N,17TH,ST,KANSAS CITY,66104,GLENWOOD,50,"6,598.76",270,1
115830,2529,,N,17TH,ST,KANSAS CITY,66104,GLENWOOD,40,"3,211.59",220,1
115814,2701,,N,17TH,ST,KANSAS CITY,66104,GLENWOOD,50,"7,082.84",270,1
115612,2935,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,25,"2,919.37",330,1
115611,3061,H,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,6,770.984,80,1
115609,3016,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,37.5,"4,937.79",250,1
115598,2912,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,496.15",270,1
115597,2914,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,401.97",270,1
115596,2918,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,35,"4,921.41",250,1
115595,2922,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,40,"4,825.00",250,1
115594,2926,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,412.50",270,1
115593,2930,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,589.85",270,1
115592,2934,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,390.06",270,1
115570,2930,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,512.12",270,1
115569,2934,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,25,"3,210.53",220,1
115546,2958,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,485.14",270,1
115545,2960,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,25,"3,246.20",220,1
115543,3000,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,451.97",270,1
115542,3002,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,75,"9,582.37",300,1
115541,3010,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,75,"9,885.03",300,1
115540,3012,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,37.5,"4,807.18",250,1
115536,3040,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,100,"12,945.14",330,1
115534,3048,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,464.62",270,1
115528,3051,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,425.29",270,1
115527,3047,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,425.41",270,1
115525,3041,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,425.63",270,1
115522,3025,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,426.06",270,1
115521,3021,,,CISSNA,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,426.19",270,1
115515,3024,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,17.5,"2,249.32",200,1
115512,3006,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,100,"12,853.80",330,1
115506,3032,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,25,"3,213.27",220,1
115505,3038,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,100,"12,852.91",330,1
115503,3046,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,426.30",270,1
115502,3050,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,426.26",270,1
115501,3056,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,50,"6,426.17",270,1
115500,3060,,N,17TH,ST,KANSAS CITY,66104,CISSNA PLACE,51,"6,554.66",280,1
115411,2935,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,681.90",260,1
115410,3016,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,958.07",260,1
115406,3003,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,57.5,"3,511.65",220,1
115393,3055,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,689.17",260,1
115389,3062,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,814.99",260,1
115388,3056,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,75,"8,838.02",290,1
115387,3052,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,37.5,"4,424.93",240,1
115386,3050,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,75,"9,040.36",290,1
115383,3034,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"6,013.09",260,1
115381,3028,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,37.5,"4,521.68",240,1
115379,3022,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,882.26",210,1
115376,2953,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,790.75","8,940.00",1
115373,2965,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"3,011.24",210,1
115372,2967,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,854.13",210,1
115371,3003,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,37.5,"4,367.68",240,1
115368,3011,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,741.46",260,1
115367,3013,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,841.72",210,1
115365,3018,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,30,"3,668.75",230,1
115364,3010,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,944.94",210,1
115363,3008,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,987.27",210,1
115362,3006,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,37.5,"4,355.47",240,1
115360,3000,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,37.5,"4,382.10",240,1
115353,2944,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,775.69",260,1
115349,2923,H,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,33.33,"3,785.71",230,1
115346,2931,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,50,"5,727.41",260,1
115345,2933,,N,17TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"3,008.29",210,1
115343,2942,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,35,"4,334.22",240,1
115342,2940,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,40,"4,303.66","9,930.00",1
115341,2934,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,806.03",210,1
115340,2932,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,25,"2,932.28",210,1
115313,1355,,,KIMBALL,AVE,KANSAS CITY,66104,MARIE PLACE,50,"5,933.18",270,1
115312,1351,,,KIMBALL,AVE,KANSAS CITY,66104,MARIE PLACE,50,"6,018.77",270,1
115310,1343,,,KIMBALL,AVE,KANSAS CITY,66104,MARIE PLACE,50,"6,110.81",270,1
115293,1338,,,KIMBALL,AVE,KANSAS CITY,66104,MARIE PLACE,200,"23,630.05",450,1
115291,1346,,,KIMBALL,AVE,KANSAS CITY,66104,MARIE PLACE,50,"5,958.36",260,1
115270,2926,,N,13TH,ST,KANSAS CITY,66104,MARIE PLACE,31.5,"3,260.16",220,1
115258,2945,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,115,"5,558.06",260,1
115247,3002,,N,13TH,ST,KANSAS CITY,66104,MARIE PLACE,49.6,"5,744.70",260,1
115245,3008,,N,13TH,ST,KANSAS CITY,66104,MARIE PLACE,26,"3,257.29",220,1
115233,3007,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,57.5,"4,474.35",240,1
115232,3009,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,115,"11,607.16",320,1
115229,1315,,,SPRING,AVE,KANSAS CITY,66104,MARIE PLACE,145.3,"18,410.02",190,1
115223,1314,,,SPRING,AVE,KANSAS CITY,66104,MARIE PLACE,178.51,"18,518.90",190,1
115221,1352,,,SPRING,AVE,KANSAS CITY,66104,MARIE PLACE,25,"2,854.24",110,1
115219,1362,,,SPRING,AVE,KANSAS CITY,66104,MARIE PLACE,50,"5,708.00",130,1
115217,3037,,N,16TH,ST,KANSAS CITY,66104,MARIE PLACE,115,"4,354.48",240,1
115210,3044,,N,13TH,ST,KANSAS CITY,66104,MARIE PLACE,182.68,"16,906.02",190,1
115112,3065,,N,17TH,ST,KANSAS CITY,66104,MILTON ADD,35,"4,144.41",240,1
115108,3070,,N,16TH,ST,KANSAS CITY,66104,MILTON ADD,38.5,"5,251.35",130,1
115,2907,,N,59TH,ST,KANSAS CITY,66104,HILMORE SUB,0,"6,013.84",120,1
114918,3079,,N,13TH,ST,KANSAS CITY,66104,MORASCH PLACE,68.2,"8,910.67",150,1
114917,3075,,N,13TH,ST,KANSAS CITY,66104,MORASCH PLACE,50,"6,466.98",130,1
114916,3061,,N,13TH,ST,KANSAS CITY,66104,MORASCH PLACE,160.4,"20,195.51",200,1
114591,2818,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,059.45",260,1
114589,2822,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,25,"3,184.71",220,1
114586,2830,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,25,"3,174.85",220,1
114581,2839,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"5,755.70",260,1
114580,2833,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"5,758.49",270,1
114570,1154,,,QUINDARO,BLVD,KANSAS CITY,66104,BOULEVARD HEIGHTS,0,"5,445.08",240,1
114569,1142,,,QUINDARO,BLVD,KANSAS CITY,66104,BOULEVARD HEIGHTS,0,"4,045.54",230,1
114568,1140,,,QUINDARO,BLVD,KANSAS CITY,66104,BOULEVARD HEIGHTS,30,"3,386.91","2,910.00",1
114567,1138,,,QUINDARO,BLVD,KANSAS CITY,66104,BOULEVARD HEIGHTS,34.1,"4,130.02","2,930.00",1
114558,2937,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,336.68",270,1
114555,2927,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,134.04",270,1
114549,2905,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,40,"5,124.55",260,1
114548,2901,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,238.01",270,1
114531,2900,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,37.5,"4,854.74",250,1
114530,2904,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,37.5,"4,839.71",250,1
114529,2906,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,225.47",270,1
114523,2940,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,302.29",270,1
114522,3023,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,48,"5,902.99",260,1
114521,3015,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,67.5,"8,996.20",290,1
114519,3011,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,360.05",270,1
114518,3005,,N,13TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,304.27",270,1
114505,3002,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,345.64",270,1
114504,3006,,N,12TH,ST,KANSAS CITY,66104,BOULEVARD HEIGHTS,50,"6,194.99",270,1
1143,6138,,,HASKELL,AVE,KANSAS CITY,66104,SOUTH QUIVIRIAN ACRES,71,"7,952.34","13,180.00",8
112021,2316,,N,6TH,ST,KANSAS CITY,66101,STEGNERS 1ST ADD,75,"7,946.15",150,1
112007,608,,,QUINDARO,BLVD,KANSAS CITY,66101,STEGNERS 1ST ADD,26.33,"3,182.43",220,1
112006,604,,,QUINDARO,BLVD,KANSAS CITY,66101,STEGNERS 1ST ADD,52.5,"6,292.69",260,1
112004,2304,,N,6TH,ST,KANSAS CITY,66101,STEGNERS 1ST ADD,37.5,"4,486.08",120,1
112003,2308,,N,6TH,ST,KANSAS CITY,66101,STEGNERS 1ST ADD,37.5,"4,448.92",120,1
112002,2312,,N,6TH,ST,KANSAS CITY,66101,STEGNERS 1ST ADD,75,"9,091.74",150,1
111910,706,,,QUINDARO,BLVD,KANSAS CITY,66101,SILVER PLACE,26.3,"3,300.22",220,1
111909,708,,,QUINDARO,BLVD,KANSAS CITY,66101,SILVER PLACE,52.67,"6,315.50",270,1
111893,626,,,QUINDARO,BLVD,KANSAS CITY,66101,SILVER PLACE,26.3,"2,943.29",210,1
111891,630,,,QUINDARO,BLVD,KANSAS CITY,66101,SILVER PLACE,52.6,"6,354.03",270,1
111866,2406,,N,7TH,ST,KANSAS CITY,66101,SILVER PLACE,37.5,"4,594.99",240,1
111826,2600,,N,TREMONT,ST,KANSAS CITY,66101,SILVER PLACE,70,"3,631.88",230,1
111825,2602,,N,TREMONT,ST,KANSAS CITY,66101,SILVER PLACE,50,"2,459.65",200,1
111818,2411,,N,TREMONT,ST,KANSAS CITY,66101,SILVER PLACE,25,"3,000.00",210,1
111817,2409,,N,TREMONT,ST,KANSAS CITY,66101,SILVER PLACE,25,"3,121.42",220,1
111635,834,,,LAFAYETTE,AVE,KANSAS CITY,66101,GORDON PLACE,12,"1,556.83",180,1
111610,832,,,LAFAYETTE,AVE,KANSAS CITY,66101,GORDON PLACE,55,"6,283.84",270,1
111593,817,,,LAFAYETTE,AVE,KANSAS CITY,66101,GORDON PLACE,50,"6,036.80",260,1
111579,2034,,N,8TH,ST,KANSAS CITY,66101,GORDON PLACE,30,"3,697.87",230,1
111536,718,,,LAFAYETTE,AVE,KANSAS CITY,66101,GORDON PLACE,33.77,"3,987.03",230,1
111534,722,,,LAFAYETTE,AVE,KANSAS CITY,66101,GORDON PLACE,25,"3,381.74",220,1
111528,746,,,LAFAYETTE,AVE,KANSAS CITY,66101,GORDON PLACE,30,"3,656.74","4,600.00",1
111518,719,,,GREELEY,AVE,KANSAS CITY,66101,GORDON PLACE,19.5,"2,026.74",190,1
111515,726,,,GREELEY,AVE,KANSAS CITY,66101,GORDON PLACE,30,"3,319.07",220,1
111503,818,,,GREELEY,AVE,KANSAS CITY,66101,GORDON PLACE,50,"5,918.08",260,1
111492,2107,,N,7TH,ST,KANSAS CITY,66101,FLORENCE PLACE,33.33,"3,492.26",220,1
111489,2100,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,50,"6,097.47",260,1
111414,624,,,LAFAYETTE,AVE,KANSAS CITY,66101,FLORENCE PLACE,37.5,"6,065.99",260,1
111413,626,,,LAFAYETTE,AVE,KANSAS CITY,66101,FLORENCE PLACE,50,"8,593.68",290,1
111409,2107,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,50,"5,919.54",260,1
111406,2121,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,40,"4,696.48",250,1
111402,609,,,QUINDARO,BLVD,KANSAS CITY,66101,FLORENCE PLACE,40,"6,815.85",270,1
111383,2120,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,50,"6,063.42",260,1
111382,2202,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,50,"5,975.21",260,1
111358,2024,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,33.3,"3,198.76",220,1
111345,2021,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,42.5,"5,284.39",260,1
111343,2031,,N,TREMONT,ST,KANSAS CITY,66101,FLORENCE PLACE,42.5,"4,967.06",250,1
111330,2028,,N,6TH,ST,KANSAS CITY,66101,FLORENCE PLACE,33.34,"4,259.77",240,1
111329,2030,,N,6TH,ST,KANSAS CITY,66101,FLORENCE PLACE,33.33,"4,064.46",230,1
111328,2054,,N,6TH,ST,KANSAS CITY,66101,FLORENCE PLACE,37.5,"4,258.03",240,1
111312,627,,,LAFAYETTE,AVE,KANSAS CITY,66101,FLORENCE PLACE,50,"5,945.99",260,1
111311,625,,,LAFAYETTE,AVE,KANSAS CITY,66101,FLORENCE PLACE,0,"4,502.11",240,1
111310,621,,,LAFAYETTE,AVE,KANSAS CITY,66101,FLORENCE PLACE,37.5,"4,446.57",240,1
111307,611,,,LAFAYETTE,AVE,KANSAS CITY,66101,FLORENCE PLACE,37.5,"4,725.59",250,1
111301,2074,,N,6TH,ST,KANSAS CITY,66101,FLORENCE PLACE,41.5,"4,813.11",250,1
1113,2506,,N,62ND,ST,KANSAS CITY,66104,SOUTH QUIVIRIAN ACRES,65,"8,712.31","13,490.00",8
111229,2032,,N,7TH,ST,KANSAS CITY,66101,ELIZABETH,50,"5,217.26",260,1
111228,2034,,N,7TH ST,TRFY,KANSAS CITY,66101,ELIZABETH,50,"5,438.19",260,1
111219,2048,,N,7TH,ST,KANSAS CITY,66101,ELIZABETH,35,"3,775.63",230,1
111216,2056,,N,7TH,ST,KANSAS CITY,66101,ELIZABETH,40,"4,018.09",230,1
111214,712,,,LAFAYETTE,AVE,KANSAS CITY,66101,ELIZABETH,54.5,"6,575.36",270,1
111213,716,,,LAFAYETTE,AVE,KANSAS CITY,66101,ELIZABETH,52.5,"6,460.90",270,1
111211,715,,,GREELEY,AVE,KANSAS CITY,66101,ELIZABETH,37.5,"4,765.48",250,1
111210,711,,,GREELEY,AVE,KANSAS CITY,66101,ELIZABETH,37.5,"4,304.51",240,1
111003,1914,,,SPRINGFIELD,BLVD,KANSAS CITY,66101,WALKERS ADD EXT RESUB CORR PLA,23.5,"2,796.58","4,530.00",4
111001,1918,,,SPRINGFIELD,BLVD,KANSAS CITY,66101,WALKERS ADD EXT RESUB CORR PLA,23.5,"2,563.18",200,4
111000,1920,,,SPRINGFIELD,BLVD,KANSAS CITY,66101,WALKERS ADD EXT RESUB CORR PLA,23.5,"2,484.77",200,4
110819,1915,,N,THOMPSON,ST,KANSAS CITY,66101,WINDSOR PLACE,30,"3,879.01",220,4
110504,327,,,FRANKLIN,AVE,KANSAS CITY,66101,LARSONS RES,33.33,"4,512.83",240,4
110412,311,,,FRANKLIN,AVE,KANSAS CITY,66101,WALKERS ADD,47,"4,704.02",280,4
11026,7812,,,HASKELL,DR,KANSAS CITY,66109,BROOKSIDE MANOR 1ST ADD,60,"23,075.64","11,790.00",5
110018,2014,,N,3RD,ST,KANSAS CITY,66101,WOOD‐WALKER ADD EDGWD. NOW PAR,22,"2,306.74",200,1
109901,1937,,N,5TH,ST,KANSAS CITY,66101,FOWLER PARK,49.67,"6,108.91","5,250.00",4
109899,1960,H,N,4TH,ST,KANSAS CITY,66101,FOWLER PARK,25,"3,232.33",220,4
109891,1963,,N,5TH,ST,KANSAS CITY,66101,FOWLER PARK,37.5,"4,374.96",240,4
109890,1965,,N,5TH,ST,KANSAS CITY,66101,FOWLER PARK,37.5,"5,163.08",260,4
109863,1933,,N,THOMPSON,ST,KANSAS CITY,66101,FOWLER PARK,33,"3,873.28",230,4
109862,1935,,N,THOMPSON,ST,KANSAS CITY,66101,FOWLER PARK,37,"5,003.72","22,130.00",4
109860,1941,,N,THOMPSON,ST,KANSAS CITY,66101,FOWLER PARK,25,"3,244.38",220,4
109850,1961,,N,THOMPSON,ST,KANSAS CITY,66101,FOWLER PARK,25,"3,209.09",220,4
109826,1938,,N,4TH,ST,KANSAS CITY,66101,FOWLER PARK,37.5,"4,703.98",250,4
109776,414,,,TROUP,AVE,KANSAS CITY,66101,FOWLER PARK,25,"3,081.53",220,1
109746,2027,,N,5TH,ST,KANSAS CITY,66101,FOWLER PARK,30.5,"3,225.74",220,1
109690,2403,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"2,675.53",100,1
109678,2606,,N,7TH ST,TRFY,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",52.5,"1,750.25",190,1
109677,2700,,N,7TH ST,TRFY,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",0,"34,343.42",550,1
109653,2514,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",50,"3,762.15",120,1
109648,2405,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"3,358.91",110,1
109647,2407,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"2,969.40",150,1
109646,2411,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",50,"6,202.78",130,1
109644,2417,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"2,792.84",100,1
109643,2421,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"3,215.60",110,1
109642,2423,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"2,969.60",110,1
109641,2503,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",37.5,"3,338.29",110,1
109640,2507,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",12.5,"1,777.01",90,1
109629,2508,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"3,186.20",220,1
109628,2418,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"2,949.63",210,1
109626,2412,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",50,"6,099.77",130,1
109624,2404,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",37.5,"4,811.31",130,1
109623,2400,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",37.5,"4,707.54",130,1
109621,2347,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",25,"3,043.59",110,1
109620,2349,,N,6TH,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",35,"4,250.08",120,1
109609,2210,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",50,"5,996.65",270,1
109608,2202,,N,HALLOCK,ST,KANSAS CITY,66101,"LONG BROS ADD, EDGERTON PLACE",80,"10,331.62",300,1
109525,602,,,QUINDARO,BLVD,KANSAS CITY,66101,MC GREW GROVE,29.3,"3,781.45",230,1
109524,2110,,N,6TH,ST,KANSAS CITY,66101,MC GREW GROVE,150.4,"3,647.60",230,1
109521,540,,,QUINDARO,BLVD,KANSAS CITY,66101,MC GREW GROVE,47.48,"5,404.12",260,1
109519,546,,,QUINDARO,BLVD,KANSAS CITY,66101,MC GREW GROVE,31.63,"3,600.60",220,1
109518,549,,,GREELEY,AVE,KANSAS CITY,66101,MC GREW GROVE,40,"2,369.54",200,1
109517,545,,,GREELEY,AVE,KANSAS CITY,66101,MC GREW GROVE,40,"2,945.75",210,1
109516,543,,,GREELEY,AVE,KANSAS CITY,66101,MC GREW GROVE,40,"3,521.92",220,1
109501,2128,,N,5TH,ST,KANSAS CITY,66101,MC GREW GROVE,25,"3,080.68",210,1
109500,2130,,N,5TH,ST,KANSAS CITY,66101,MC GREW GROVE,35,"3,841.18",230,1
109245,2055,,N,6TH,ST,KANSAS CITY,66101,HAFNERS GROVE,25,"3,295.13",220,1
109244,2057,,N,6TH,ST,KANSAS CITY,66101,HAFNERS GROVE,27.5,"2,839.03",210,1
109237,533,,,QUINDARO,BLVD,KANSAS CITY,66101,HAFNERS GROVE,0,"5,170.36",260,1
109230,2075,,N,6TH,ST,KANSAS CITY,66101,HAFNERS GROVE,25,"3,602.39",230,1
109227,2067,,N,6TH,ST,KANSAS CITY,66101,HAFNERS GROVE,30,"3,599.77",230,1
109225,2063,,N,6TH,ST,KANSAS CITY,66101,HAFNERS GROVE,30,"3,664.19",230,1
109209,2053,,N,HALLOCK,ST,KANSAS CITY,66101,HAFNERS GROVE,37.5,"11,729.03",320,1
109207,2047,,N,HALLOCK,ST,KANSAS CITY,66101,HAFNERS GROVE,25,"3,437.83",220,1
108110,2014,,N,38TH,ST,KANSAS CITY,66104,HOWELL GARDENS,82.47,"21,454.49",420,1
107600,4808,,,SORTOR,DR,KANSAS CITY,66104,LEE WOOD ACRES,80,"14,866.89","8,670.00",1
107307,4930,,,BLUE,LN,KANSAS CITY,66104,BLUE LANE ADD,29,"2,813.74",980,1
107206,3143,,N,48TH,ST,KANSAS CITY,66104,"CONNELY,LU ELLA ADD",117,"11,952.90","5,660.00",1
107105,3120,,N,47TH,TER,KANSAS CITY,66104,GRAYS ADD,160,"24,682.97","2,520.00",1
106903,2934,,,HUTCHINGS,ST,KANSAS CITY,66104,TREASURE PARK,36.75,"4,675.32",250,1
106902,2936,,,HUTCHINGS,ST,KANSAS CITY,66104,TREASURE PARK,36.75,"4,527.87",240,1
106827,3068,,,CISSNA,ST,KANSAS CITY,66104,GRANT PLACE,50,"15,677.52",360,1
106826,3064,R,,CISSNA,ST,KANSAS CITY,66104,GRANT PLACE,50,"7,533.69",140,1
106825,3064,,,CISSNA,ST,KANSAS CITY,66104,GRANT PLACE,50,"6,596.24",270,1
106823,3070,,,CISSNA,ST,KANSAS CITY,66104,GRANT PLACE,50,"15,310.40",360,1
106822,3076,,,CISSNA,ST,KANSAS CITY,66104,GRANT PLACE,50,"14,779.05",350,1
106709,3141,,N,17TH,ST,KANSAS CITY,66104,NELSON PARK ADD,0,"21,378.37",210,1
106702,3115,,N,13TH,ST,KANSAS CITY,66104,NELSON PARK ADD,160,"37,823.99",290,1
106700,3131,,N,13TH,ST,KANSAS CITY,66104,NELSON PARK ADD,120,"28,521.64",240,1
